"","genus","max.stage","min.stage","GCD","LatRange","LongRange","Extinct","Stage","Regime","phylum","class","order","family"
"1","Acanthoscapha","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Arthropoda","Ostracoda","Podocopida","Beecherellidae"
"2","Acodina","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Chordata","Conodonta",NA,NA
"3","Acratia","Ladinian","Pliensbachian",NA,NA,NA,0,"Ladinian","background","Arthropoda","Ostracoda","Podocopida","Acratiidae"
"4","Acrodus","Ladinian","Sinemurian",4446.88880124598,35.5750394458586,22.7732262725152,0,"Ladinian","background","Chordata","Chondrichthyes","Hybodontiformes","Acrodontidae"
"5","Acteonina","Ladinian","Toarcian",NA,NA,NA,0,"Ladinian","background","Mollusca","Gastropoda",NA,"Acteoninidae"
"6","Adygella","Ladinian","Norian",NA,NA,NA,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Terebratulida","Dielasmatidae"
"7","Aeger","Ladinian","Aalenian",NA,NA,NA,0,"Ladinian","background","Arthropoda","Malacostraca","Decapoda","Aegeridae"
"8","Agonisca","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Bivalvia","Trigoniida","Prosogyrotrigoniidae"
"9","Alcoveria","Ladinian","Ladinian",2.33686866884388,0.0159258999999992,0.01419791,1,"Ladinian","background","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae"
"10","Alipunctifera","Ladinian","Carnian",380.501357473886,2.3711098904,10.815928618,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Spiriferinida","Punctospiriferidae"
"11","Allocosmia","Ladinian","Aalenian",NA,NA,NA,0,"Ladinian","background","Mollusca","Gastropoda","Murchisoniina","Zygopleuridae"
"12","Allolepidotus","Ladinian","Ladinian",701.692309254189,3.18266591179775,5.67198597842697,1,"Ladinian","background","Chordata","Actinopteri","Panxianichthyiformes","Panxianichthyidae"
"13","Alpinothalamia","Ladinian","Norian",1420.89658815608,10.8397576381633,6.99668124836735,0,"Ladinian","background","Porifera","Demospongea","Hadromerida","Celyphiidae"
